# Constellation Arabic Engine — Layer 2 protected list.
#
# This file is the authoritative source for words the analyzer must
# never decompose. Loaded via `include_str!` at compile time; zero I/O
# at runtime. Append-only: duplicates are first-write-wins, so reordering
# or pasting an already-present entry is always safe.
#
# Format (three TAB-separated columns):
#
#   surface  category  origin_lang
#
# Where:
#   surface     The Arabic surface form. MUST be stripped of tashkeel
#               (fatḥa/kasra/ḍamma/shadda/sukūn) and tatweel (ـ). Hamza
#               variants (أ إ آ ؤ ئ) MUST be preserved — they are root
#               letters. The normalizer strips tashkeel before lookup, so
#               users who type a vocalized form will still match.
#   category    One of: proper | place | loanword | function.
#               - proper   — person name (Arabic or transliterated).
#               - place    — city, country, or region.
#               - loanword — non-Arabic word adopted into Arabic.
#               - function — grammatical particle, pronoun, conjunction.
#   origin_lang BCP-47 code: ar, de, en, es, fa, fr, he, hi, ja, ko,
#               pt, ru, tr, ur, zh. Use '-' for None (native Arabic or
#               an origin we don't carry in the 15-language bridge).
#
# Lines starting with `#` and blank lines are ignored.
#
# Selection criteria (the bar for adding an entry):
#   1. The surface would be over-stripped by a Light10-class stemmer OR
#      decomposed by our FST into something semantically wrong.
#   2. The word is high-frequency enough to appear in real user text.
#   3. It is genuinely non-decomposable — there is no (root × pattern)
#      analysis because the word isn't derived from an Arabic root.
#
# Source provenance: hand-curated from public-domain references and
# common-knowledge. No BAMA / Buckwalter / SAMA content. Entries that
# would eventually be sourced from Wikipedia CC BY-SA extraction are
# marked with a `# wp:` comment near the section header.
#
# Ramp target (M1g/M1h full): 20K proper nouns + 2K loanwords. Today's
# file ships ~1000 hand-picked entries across all categories — enough to
# make the analyzer behave correctly on common text while the full
# Wikipedia-driven pipeline is built out in lab/ (separate milestone).

# ──────────────────────────────────────────────────────────────────────
# PROPER NOUNS — Arabic male names
# Classical + modern. Selected for prefix-collision risk (و / أ / م / ال)
# and corpus frequency. Many are traditional / religious-heritage names.
# ──────────────────────────────────────────────────────────────────────

# Flagship regression case — Light10 over-stripped وائل → ائل.
وائل	proper	-
محمد	proper	-
أحمد	proper	-
علي	proper	-
عمر	proper	-
عثمان	proper	-
يوسف	proper	-
إبراهيم	proper	-
إسماعيل	proper	-
موسى	proper	-
عيسى	proper	-
يعقوب	proper	-
داود	proper	-
سليمان	proper	-
خالد	proper	-
حسن	proper	-
حسين	proper	-
عبدالله	proper	-
عبدالرحمن	proper	-
طارق	proper	-
ياسر	proper	-
سامي	proper	-
ماجد	proper	-
فيصل	proper	-
بدر	proper	-
أسامة	proper	-
أنس	proper	-
زياد	proper	-
رائد	proper	-
صالح	proper	-
مازن	proper	-
نبيل	proper	-
# Expanded set (M1g) — common modern + classical male names.
عبدالعزيز	proper	-
عبدالكريم	proper	-
عبدالمجيد	proper	-
عبدالمنعم	proper	-
عبدالسلام	proper	-
عبدالهادي	proper	-
عبدالقادر	proper	-
عبدالباسط	proper	-
عبدالحكيم	proper	-
عبدالناصر	proper	-
عبدالوهاب	proper	-
عبدالغني	proper	-
عبدالفتاح	proper	-
كريم	proper	-
جمال	proper	-
مصطفى	proper	-
صلاح	proper	-
هاني	proper	-
مروان	proper	-
رشيد	proper	-
بلال	proper	-
أيمن	proper	-
طلال	proper	-
غسان	proper	-
رفيق	proper	-
فؤاد	proper	-
نزار	proper	-
نسيم	proper	-
حمدي	proper	-
معتز	proper	-
قاسم	proper	-
باسم	proper	-
أكرم	proper	-
مجدي	proper	-
منير	proper	-
شريف	proper	-
يحيى	proper	-
زكي	proper	-
جهاد	proper	-
لطفي	proper	-
كمال	proper	-
حمزة	proper	-
معاذ	proper	-
شعبان	proper	-
سليم	proper	-
سيف	proper	-
هاشم	proper	-
ناصر	proper	-
حافظ	proper	-
فتحي	proper	-
عدنان	proper	-
عاطف	proper	-
رضوان	proper	-
زيدان	proper	-
مبارك	proper	-
عصام	proper	-
ناجي	proper	-
أشرف	proper	-
صبري	proper	-
نعيم	proper	-
نديم	proper	-
وليد	proper	-
إدريس	proper	-
إلياس	proper	-
قيس	proper	-
وصفي	proper	-
